epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.362,1.2102,3.5963,1.46843,0.01534,0.25781,0.12065,0.07975,0.95472,4.05911,1.32589,8.459e-05,8.459e-05,8.459e-05
2,352.14,1.01048,3.20842,1.31437,0.01479,0.4375,0.15586,0.09584,0.84371,3.85948,1.19895,0.000172492,0.000172492,0.000172492
3,528.033,1.02136,2.7,1.33229,0.06442,0.65625,0.33892,0.17849,1.18876,3.64838,1.39084,0.000255827,0.000255827,0.000255827
4,704.485,1.04543,2.18696,1.32831,0.05734,0.6875,0.42504,0.27662,1.12723,3.29742,1.26452,0.000334594,0.000334594,0.000334594
5,880.761,1.05505,1.72653,1.30971,0.99942,0.125,0.6919,0.46159,1.20676,2.92365,1.44533,0.000408793,0.000408793,0.000408793
6,1056.21,1.02482,1.44031,1.29963,0.97699,0.20367,0.72428,0.50504,1.17253,2.63109,1.28371,0.000478424,0.000478424,0.000478424
7,1230.25,1.01406,1.23863,1.27458,0.93148,0.25,0.77204,0.57802,0.96505,2.47567,1.17541,0.000543487,0.000543487,0.000543487
8,1402.96,0.95496,1.15271,1.27416,0.77336,0.5512,0.90708,0.64815,0.99048,1.9662,1.2061,0.000603982,0.000603982,0.000603982
9,1577.99,0.9327,1.06039,1.26632,0.84348,0.68743,0.90782,0.65609,1.07259,1.96313,1.33149,0.000616738,0.000616738,0.000616738
10,1751.67,0.93895,1.0121,1.27427,0.62899,0.65038,0.73697,0.4839,1.58805,2.55111,1.59755,0.000597705,0.000597705,0.000597705
11,1926.84,0.87281,0.91776,1.21793,0.75151,0.75126,0.89469,0.65432,1.25286,1.67761,1.52199,0.000578672,0.000578672,0.000578672
12,2100.4,0.84524,0.87824,1.18992,0.89087,0.86908,0.92658,0.72075,1.04233,1.236,1.23757,0.00055964,0.00055964,0.00055964
13,2284.61,0.85477,0.85024,1.1952,0.8272,0.9375,0.93255,0.72949,0.98914,1.32811,1.21682,0.000540607,0.000540607,0.000540607
14,2467.73,0.83604,0.8477,1.20617,0.87453,0.7639,0.93826,0.66978,1.09721,1.28892,1.27053,0.000521574,0.000521574,0.000521574
15,2630.45,0.83067,0.83024,1.17932,0.85838,0.80435,0.93165,0.71521,1.05222,1.08762,1.25799,0.000502541,0.000502541,0.000502541
16,2791.5,0.82604,0.81073,1.20653,0.77852,0.88946,0.9321,0.67772,1.09947,1.34445,1.28106,0.000483509,0.000483509,0.000483509
17,2948.99,0.78686,0.77158,1.15876,0.73874,0.92056,0.93417,0.70069,0.99504,1.14325,1.17714,0.000464476,0.000464476,0.000464476
18,3124.3,0.82163,0.78085,1.18154,0.86404,0.87925,0.95333,0.72062,0.92881,0.99005,1.13018,0.000445443,0.000445443,0.000445443
19,3302.45,0.78516,0.73415,1.14056,0.95087,0.93306,0.96375,0.717,0.96573,0.93307,1.19782,0.000426411,0.000426411,0.000426411
20,3465.97,0.75264,0.72929,1.12777,0.92742,0.92641,0.935,0.73391,0.892,0.88217,1.07616,0.000407378,0.000407378,0.000407378
21,3631.63,0.7614,0.73147,1.15309,0.85252,0.92096,0.93161,0.69575,0.95004,0.94972,1.13857,0.000388345,0.000388345,0.000388345
22,3793.46,0.7647,0.72706,1.1545,0.88033,0.9375,0.93681,0.72157,0.9305,0.90998,1.10097,0.000369312,0.000369312,0.000369312
23,3959.23,0.74718,0.69715,1.12863,0.95461,0.93877,0.995,0.74782,0.92409,0.83031,1.08911,0.00035028,0.00035028,0.00035028
24,4123.11,0.75243,0.69881,1.14786,0.92277,0.9375,0.97417,0.73991,0.91505,0.8159,1.10716,0.000331247,0.000331247,0.000331247
25,4287.04,0.73376,0.69713,1.13348,0.90663,0.95757,0.995,0.736,0.91253,0.78616,1.11613,0.000312214,0.000312214,0.000312214
26,4453.51,0.75445,0.66099,1.13366,0.84466,0.99727,0.98875,0.73146,0.91618,0.81962,1.13032,0.000293181,0.000293181,0.000293181
27,4618.04,0.71971,0.66736,1.10825,0.7824,0.94388,0.94729,0.72977,0.8875,0.78992,1.11271,0.000274148,0.000274148,0.000274148
28,4785.47,0.7324,0.66863,1.14836,0.87852,0.98984,0.98875,0.75419,0.89696,0.772,1.09804,0.000255116,0.000255116,0.000255116
29,4949.42,0.71732,0.66158,1.12334,0.88254,0.9807,0.9825,0.74173,0.90789,0.79598,1.08173,0.000236083,0.000236083,0.000236083
30,5113.72,0.69035,0.64731,1.11145,0.87419,0.98528,0.97625,0.73095,0.92578,0.79971,1.12061,0.00021705,0.00021705,0.00021705
31,5276.66,0.73093,0.85121,1.17351,0.91099,0.89535,0.95542,0.7225,0.95235,0.82028,1.09575,0.000198018,0.000198018,0.000198018
32,5439.29,0.71665,0.78761,1.13406,0.85842,0.90414,0.91766,0.71128,0.97694,0.90782,1.11748,0.000178985,0.000178985,0.000178985
33,5601.95,0.68535,0.73889,1.11415,0.82047,0.9365,0.92764,0.69772,0.99905,0.87601,1.17574,0.000159952,0.000159952,0.000159952
34,5767.39,0.65092,0.70554,1.09035,0.90371,0.9202,0.96375,0.72229,0.94433,0.82356,1.12988,0.000140919,0.000140919,0.000140919
35,5930.66,0.65232,0.70556,1.08361,0.93039,0.92336,0.96375,0.73097,0.95548,0.81025,1.1524,0.000121887,0.000121887,0.000121887
36,6094.48,0.63154,0.66784,1.07237,0.94014,0.91749,0.93309,0.74058,0.92818,0.78396,1.13264,0.000102854,0.000102854,0.000102854
37,6259.6,0.62149,0.66555,1.07673,0.93079,0.9375,0.93304,0.74,0.89618,0.73008,1.08913,8.3821e-05,8.3821e-05,8.3821e-05
38,6422.56,0.63503,0.65632,1.07111,0.88042,0.9375,0.96375,0.75264,0.89082,0.72715,1.10139,6.47882e-05,6.47882e-05,6.47882e-05
39,6585.89,0.60961,0.64744,1.06329,0.83243,0.9375,0.93281,0.70798,0.91734,0.74064,1.1311,4.57555e-05,4.57555e-05,4.57555e-05
40,6743.36,0.60175,0.63909,1.05357,0.837,0.9375,0.93281,0.71595,0.90111,0.73209,1.11132,2.67228e-05,2.67228e-05,2.67228e-05
